City/Town,County,POPESTIMATE2018,Count_0603,Rate_0603,Count_0610,Rate_0610,Count_0617,Rate_0617,Count_0624,Rate_0624,Count_0701,Rate_0701,Count_0708,Rate_0708,Count_0715,Rate_0715,Count_0722,Rate_0722,Count_0729,Rate_0729,Count_0805,Rate_0805,Count_0812,Rate_0812,Count_0819,Rate_0819,Count_0826,Rate_0826,Count_0902,Rate_0902,Count_0909,Rate_0909,Count_0916,Rate_0916,Count_0923,Rate_0923,Count_0930,Rate_0930,Count_1007,Rate_1007,Count_1014,Rate_1014,Count_1022,Rate_1022,Count_1029,Rate_1029,Rate_Vel_0610,Rate_Vel_0617,Rate_Vel_0624,Rate_Vel_0701,Rate_Vel_0708,Rate_Vel_0715,Rate_Vel_0722,Rate_Vel_0729,Rate_Vel_0805,Rate_Vel_0812,Rate_Vel_0819,Rate_Vel_0826,Rate_Vel_0902,Rate_Vel_0909,Rate_Vel_0916,Rate_Vel_0923,Rate_Vel_0930,Rate_Vel_1007,Rate_Vel_1014,Rate_Vel_1022,Rate_Vel_1029,Rate_Acc_0617,Rate_Acc_0624,Rate_Acc_0701,Rate_Acc_0708,Rate_Acc_0715,Rate_Acc_0722,Rate_Acc_0729,Rate_Acc_0805,Rate_Acc_0812,Rate_Acc_0819,Rate_Acc_0826,Rate_Acc_0902,Rate_Acc_0909,Rate_Acc_0916,Rate_Acc_0923,Rate_Acc_0930,Rate_Acc_1007,Rate_Acc_1014,Rate_Acc_1022,Rate_Acc_1029
Abington,Plymouth,16516,230,1280.56,232,1291.69,231,1286.12,233,1297.26,235,1308.39,235,1308.39,238,1325.092851,239,1330.660468,243,1352.930936,248,1380.769021,249,1386.336638,252,1403.039489,257,1430.877574,267,1486.553745,269,1497.688979,276,1536.662298,279,1553.365149,285,1586.770851,294,1636.879404,314,1748.231745,323,1798.340298,343,1909.692638,11.13,-5.57,11.14,11.13,0,16.70,5.57,22.27,27.84,5.57,16.70,27.84,55.68,11.14,38.97,16.70,33.41,50.11,111.35,50.11,111.35,-16.7,16.71,-0.01,-11.13,16.7,-11.14,16.7,5.57,-22.27,11.14,11.14,27.84,-44.54,27.84,-22.27,16.7,16.7,61.24,-61.24,61.24
Acton,Middlesex,23738,152,640.48,154,648.91,156,657.33,157,661.55,159,669.98,162,682.62,167,703.6885185,169,712.1159259,172,724.757037,174,733.1844444,176,741.6118519,179,754.252963,187,787.9625926,192,809.0311111,191,804.8174074,193,813.2448148,195,821.6722222,199,838.527037,203,855.3818519,208,876.4503704,211,889.0914815,220,927.0148148,8.43,8.42,4.22,8.43,12.64,21.07,8.43,12.64,8.43,8.43,12.64,33.71,21.07,-4.21,8.43,8.43,16.85,16.85,21.07,12.64,37.92,-0.01,-4.2,4.21,4.21,8.43,-12.64,4.21,-4.21,0,4.21,21.07,-12.64,-25.28,12.64,0,8.43,0,4.21,-8.43,25.28
Acushnet,Bristol ,10580,86,822.7,87,832.26,86,822.7,88,841.83,92,880.1,93,889.66,97,927.9249462,99,947.0574194,102,975.756129,103,985.3223656,103,985.3223656,106,1014.021075,107,1023.587312,108,1033.153548,109,1042.719785,112,1071.418495,116,1109.683441,123,1176.647097,134,1281.875699,143,1367.971828,158,1511.465376,184,1760.187527,9.56,-9.56,19.13,38.27,9.56,38.26,19.13,28.70,9.57,0.00,28.70,9.57,9.57,9.57,28.70,38.26,66.96,105.23,86.10,143.49,248.72,-19.12,28.69,19.14,-28.71,28.7,-19.13,9.57,-19.13,-9.57,28.7,-19.13,0,0,19.13,9.57,28.7,38.26,-19.13,57.4,105.23
Adams,Berkshire,8077,35,422.67,35,422.67,35,422.67,35,422.67,35,422.67,35,422.67,35,422.67,35,422.67,35,422.67,35,422.67,35,422.67,35,422.67,37,446.8225714,40,483.0514286,39,470.9751429,43,519.2802857,43,519.2802857,46,555.5091429,46,555.5091429,46,555.5091429,46,555.5091429,46,555.5091429,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,24.15,36.23,-12.08,48.31,0.00,36.23,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,24.15,12.08,-48.31,60.38,-48.31,36.23,-36.23,0,0,0
Agawam,Hampden,28854,440,1538.23,449,1569.69,450,1573.19,452,1580.18,455,1590.67,464,1622.13,480,1678.065517,483,1688.553427,493,1723.513125,506,1768.960733,510,1782.944612,516,1803.920431,526,1838.880129,535,1870.343858,541,1891.319677,547,1912.295496,556,1943.759224,559,1954.247134,560,1957.743103,569,1989.206832,587,2052.134289,647,2261.892478,31.46,3.5,6.99,10.49,31.46,55.94,10.49,34.96,45.45,13.98,20.98,34.96,31.46,20.98,20.98,31.46,10.49,3.50,31.46,62.93,209.76,-27.96,3.49,3.5,20.97,24.48,-45.45,24.47,10.49,-31.46,6.99,13.98,-3.5,-10.49,0,10.49,-20.98,-6.99,27.97,31.46,146.83
Alford,Berkshire,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amesbury,Essex,17569,170,1021.3,173,1039.33,175,1051.34,178,1069.37,179,1075.37,181,1087.39,185,1111.420718,189,1135.451436,191,1147.466796,193,1159.482155,196,1177.505193,197,1183.512873,197,1183.512873,198,1189.520552,199,1195.528232,201,1207.543591,202,1213.551271,203,1219.55895,210,1261.612707,217,1303.666464,223,1339.712541,231,1387.773978,18.03,12.01,18.03,6,12.02,24.03,24.03,12.02,12.02,18.02,6.01,0.00,6.01,6.01,12.02,6.01,6.01,42.05,42.05,36.05,48.06,-6.02,6.02,-12.03,6.02,12.01,0,-12.02,0,6.01,-12.02,-6.01,6.01,0,6.01,-6.01,0,36.05,0,-6.01,12.02
Amherst,Hampshire,39503,93,229.64,91,224.7,93,229.64,94,232.11,94,232.11,97,239.52,100,246.9278351,103,254.3356701,107,264.2127835,115,283.9670103,118,291.3748454,121,298.7826804,126,311.1290722,139,343.2296907,144,355.5760825,146,360.5146392,149,367.9224742,181,446.9393814,251,619.788866,264,651.8894845,270,666.7051546,277,683.9901031,-4.94,4.94,2.47,0,7.41,7.41,7.41,9.88,19.75,7.41,7.41,12.35,32.10,12.35,4.94,7.41,79.02,172.85,32.10,14.82,17.28,9.88,-2.47,-2.47,7.41,0,0,2.47,9.88,-12.35,0,4.94,19.75,-19.75,-7.41,2.47,71.61,93.83,-140.75,-17.28,2.47
Andover,Essex,36403,299,830.21,301,835.76,300,832.98,305,846.87,315,874.63,316,877.41,317,880.1866139,321,891.2930696,325,902.3995253,331,919.0592089,337,935.7188924,345,957.9318038,351,974.5914873,354,982.9213291,361,1002.357627,366,1016.240696,376,1044.006835,390,1082.87943,401,1113.422184,415,1152.294778,427,1185.614146,447,1241.146424,5.55,-2.78,13.89,27.76,2.78,2.78,11.11,11.11,16.66,16.66,22.21,16.66,8.33,19.44,13.88,27.77,38.87,30.54,38.87,33.32,55.53,-8.33,16.67,13.87,-24.98,0,8.33,0,5.55,0,5.55,-5.55,-8.33,11.11,-5.55,13.88,11.11,-8.33,8.33,-5.55,22.21
Aquinnah,Dukes,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
